,walks,hits,hr,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,firstyear,OBP,SLG,AVG,L,R,R,2B,3B,CATCHER,CF,DH,LF,RF,SS,prob,inducted,playerID,nameFirst,nameLast
93,1263,2029,246,985,1065,21,57.0,19.0,17.0,82,2684,57,3.0,0.0,0.0,1.0,1.0,2082,1990,0.3879704537460429,0.43594380303241065,0.282236750591181,0,0,1,0,0,0,0,0,0,1,0,0.0,,singlke01,Ken,Singleton
94,475,1589,271,909,860,229,32.0,7.0,10.0,112,2932,76,1.0,0.0,2.0,0.0,1.0,1525,2011,0.33061096277681795,0.4848641210870313,0.2733058135534916,0,1,1,0,0,0,0,0,0,1,0,0.0,,mondera01,Raul,Mondesi
97,816,1401,335,898,1000,221,126.0,32.0,40.0,76,2515,62,6.0,0.0,0.0,4.0,0.0,1583,2005,0.3565217391304348,0.5053525286083426,0.25858250276854927,1,0,0,0,0,0,0,0,0,1,0,0.0,,strawda01,Darryl,Strawberry
100,450,2715,174,1077,1208,183,98.0,20.0,23.0,1379,15126,146,1.0,0.0,0.0,0.0,2.0,2517,1996,0.3211496094532345,0.40789613706502076,0.288921996381824,1,0,0,0,0,0,0,0,0,0,0,0.17,0.0,bucknbi01,Bill,Buckner
102,368,1705,102,651,766,32,141.0,43.0,44.0,106,2546,52,1.0,0.0,0.0,2.0,2.0,1747,1990,0.33254306938517464,0.40872677688767683,0.29060848815408213,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,pinielo01,Lou,Piniella
105,425,2207,41,1169,585,668,150.0,40.0,38.0,76,5060,67,2.0,0.0,1.0,1.0,1.0,2154,2000,0.32642675390766995,0.37575992756435134,0.2854740654507826,0,0,1,0,0,0,1,0,0,0,0,0.01,,wilsowi02,Willie,Wilson
106,449,1254,153,603,610,39,42.0,12.0,12.0,73,2715,55,0.0,0.0,0.0,1.0,0.0,1392,1981,0.33326923076923076,0.4294543904518329,0.2672634271099744,1,0,1,0,0,0,0,0,0,1,0,0.0,,northji01,Jim,Northrup
107,354,977,51,460,392,82,120.0,20.0,36.0,81,2901,35,0.0,0.0,4.0,2.0,1.0,1522,1989,0.32505966587112173,0.367989417989418,0.25846560846560845,1,0,0,0,0,0,1,0,0,0,0,0.0,,geronce01,Cesar,Geronimo
108,588,2153,222,1007,1099,14,24.0,10.0,5.0,1121,14270,68,6.0,1.0,9.0,0.0,0.0,1785,2001,0.35832900882200314,0.4713694131086677,0.30743966871340855,1,0,0,0,0,0,0,0,0,0,0,0.11,0.0,mattido01,Don,Mattingly
109,849,2356,376,1276,1330,128,54.0,14.0,14.0,1075,11612,165,10.0,0.0,1.0,0.0,1.0,2499,1999,0.34069400630914826,0.45671539515760623,0.26907263590680675,0,1,1,0,0,1,0,0,0,0,0,0.84,,fiskca01,Carlton,Fisk
111,266,1660,61,785,499,267,120.0,37.0,29.0,95,3150,61,1.0,0.0,0.0,2.0,1.0,1468,1990,0.3272849462365591,0.3965180316219577,0.2949014034464381,1,0,0,0,0,0,1,0,0,0,0,0.0,,rivermi01,Mickey,Rivers
112,687,1694,203,865,890,38,100.0,27.0,30.0,2564,4308,207,0.0,0.0,0.0,1.0,0.0,1908,1991,0.352122776821572,0.4378255208333333,0.2757161458333333,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,hebneri01,Richie,Hebner
113,913,2160,383,1355,1311,230,100.0,23.0,28.0,213,3976,57,5.0,1.0,7.0,0.0,1.0,1988,2011,0.40022435497943415,0.565223686115535,0.3127262197770378,1,0,1,0,0,0,0,0,0,1,0,0.16,,walkela01,Larry,Walker
