playerID,nameFirst,nameLast,bats,throws,walks,hits,ab,singles,doubles,triples,hr,hbp,sacf,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,mfp,firstyear,inducted
alomasa02,Sandy,Alomar,R,R,212,1236,4530,865,249,10,112,41,34,520,588,25,173,37,49,464,7667,86,6,0,1,NULL,2,1377,CATCHER,2013,0
stairma01,Matt,Stairs,L,R,717,1366,5204,794,294,13,265,57,40,770,899,30,24,3,17,215,3159,40,NULL,NULL,NULL,1,2,1895,RF,2017,0
beaucji01,Jim,Beauchamp,R,R,54,153,661,117,18,4,14,3,12,79,90,6,4,0,4,46,755,17,NULL,NULL,NULL,NULL,1,393,1B,1979,0
marshmi01,Mike,Marshall,R,R,17,35,179,33,1,0,1,1,2,11,16,0,0,0,7,283,105,15,1,0,0,NULL,1,725,PITCHER,1987,0
campbbi02,Bill,Campbell,R,R,4,4,26,4,0,0,0,0,0,2,2,0,0,0,6,172,119,13,1,0,0,NULL,1,700,PITCHER,1993,0
yastrca01,Carl,Yastrzemski,L,R,1845,3419,11988,2262,646,59,452,40,105,1816,1844,168,65,24,17,775,10437,135,14,1,7,NULL,2,3308,LF,1989,1
jacksgr01,Grant,Jackson,B,L,7,32,236,27,2,1,2,1,0,20,17,0,2,0,13,170,55,16,0,NULL,NULL,1,2,718,PITCHER,1988,0
finlest01,Steve,Finley,L,L,844,2548,9397,1671,449,124,304,53,75,1443,1167,320,165,41,51,134,5664,72,2,0,5,1,2,2583,CF,2013,0
gaettga01,Gary,Gaetti,R,R,634,2280,8951,1438,443,39,360,96,104,1130,1341,96,93,22,25,4623,2607,237,2,0,4,1,NULL,2507,3B,2006,0
lopesda01,Davey,Lopes,R,R,833,1671,6354,1234,232,50,155,31,48,1023,614,557,181,43,50,3931,3558,177,4,0,1,1,3,1812,2B,1993,0
colemvi01,Vince,Coleman,B,R,477,1425,5406,1132,176,89,28,15,24,849,346,752,111,22,28,109,2452,68,2,0,0,NULL,2,1371,LF,2003,0
butlebr01,Brett,Butler,L,L,1129,2375,8180,1913,277,131,54,38,51,1359,578,558,49,12,14,122,5296,41,1,0,0,NULL,1,2213,CF,2003,0
eisenji01,Jim,Eisenreich,L,L,324,1160,3995,848,221,39,52,8,42,492,477,105,52,12,20,57,2249,28,NULL,NULL,NULL,1,1,1422,RF,2004,0
staubru01,Rusty,Staub,L,R,1255,2716,9720,1878,499,47,292,79,119,1189,1466,47,41,14,11,402,6572,140,4,0,0,NULL,1,2951,RF,1991,0
bolinbo01,Bobby,Bolin,R,R,35,69,423,53,9,1,6,3,0,39,35,1,0,0,2,190,87,15,NULL,NULL,NULL,NULL,1,496,PITCHER,1979,0
